英文,詞性,中文,級別
ass,n.,驢,5
assault,n./v.,攻擊,5
assert,v.,主張,5
assess(ment),v./(n.),評定,5
asset,n.,資產,5
assumption,n.,假定,5
astonish(ment),v./(n.),使驚訝,5
athletics,n.,體育運動,5
attendance,n.,出席,5
attic,n.,閣樓,5
attorney,n.,代理人,5
attribute,v.,屬性,5
auction,n./v.,拍賣,5
authorize,v.,授權,5
autonomy,n.,自治,5
awe,n./v.,敬畏,5
backyard,n.,後院,5
ballot,n./v.,投票,5
ban,n./v.,禁令,5
banner,n.,旗幟,5
barren,adj.,不育的,5
batch,n.,一次所烘的面包,5
behalf,n.,利益,5
belongings,n.,財產,5
beloved,adj./n.,心愛的,5
beneficial,adj.,有益的,5
betray,v.,出賣,5
beware,v.,小心,5
bias,n./v.,偏見,5
bid,n./v.,出價,5
biological,adj.,生物學的,5
bizarre,adj.,奇異的,5
blast,n./v.,一陣風,5
blur,n./v.,使模糊,5
blush,n./v.,臉紅,5
bodyguard,n.,保鏢,5
bolt,n./v.,門閂,5
bonus,n.,獎金,5
boom,n./v.,繁榮,5
boost,v./n.,推進,5
booth,n.,亭,5
boredom,n.,厭煩,5
bound,v./n.,躍,5
boundary,n.,邊界,5
boxer,n.,拳師,5
breakthrough,n.,突破,5
briefcase,n.,公事包,5
bronze,n./adj.,青銅,5
browse,v./n.,瀏覽,5
bruise,n./v.,青腫,5
bulk,n.,大小,5
bully,n./v.,欺凌弱小者,5
bureau,n.,局,5
bureaucracy,n.,官僚,5
burial,n.,埋葬,5
butcher,n./v.,屠夫,5
calcium,n.,鈣,5
canal,n.,運河,5
canvas,n./v.,帆布,5
capability,n.,能力,5
carbon,n.,碳,5
carnival,n.,嘉年華會,5
casino,n.,卡西諾賭場,5
cathedral,n.,大教堂,5
caution,n./v.,小心,5
cautious,adj.,謹慎的,5
celebrity,n.,名聲,5
cemetery,n.,墓地,5
ceremony,n.,典禮,5
certainty,n.,確定,5
certificate,n./v.,證書,5
chaos,n.,大混亂,5
chapel,n.,小教堂,5
characterize,v.,描繪...的特性,5
chef,n.,廚師,5
choir,n.,唱詩班,5
chord,n.,弦,5
chore,n.,零工,5
chronic,adj.,慢性的,5
chubby,adj.,圓胖的,5
chunk,n.,大塊,5
circuit,n.,電路,5
cite,v.,引用,5
citizenship,n.,國籍,5
civic,adj.,市的,5
clarity,n.,清楚,5
clause,n.,子句,5
cling,v.,粘緊,5
clinical,adj.,臨床的,5
cluster,n./v.,串,5
cocaine,n.,可卡因,5
coffin,n.,棺材,5
cognitive,adj.,認知的,5
coherent,adj.,互相耦合的,5
coincidence,n.,巧合,5
collaboration,n.,合作,5
collective,adj./n.,集體的,5
collector,n.,收集家,5
colonial,adj./n.,殖民的,5
columnist,n.,專欄作家,5
combat,n./v.,爭鬥,5
comedian,n.,喜劇演員,5
commentary,n.,注釋,5
commentator,n.,評論員,5
commission,n./v.,委任狀,5
commitment,n.,委托,5
commodity,n.,農產品,5
communism,n.,共產主義,5
communist,adj./n.,共產主義者,5
commute,v.,交換,5
commuter,n.,乘公共車輛上下班者,5
compact,adj./n./v.,緊湊的,5
comparable,adj.,可比較的,5
compassion,n.,同情,5
compassionate,adj.,慈悲的,5
compatible,adj.,能共處的,5
compel,v.,強迫,5
compensate,v.,償還,5
compensation,n.,補償,5
competence,n.,勝任,5
competent,adj.,能幹的,5
complexity,n.,復雜,5
compliance,n.,遵從,5
complication,n.,復雜化,5
compliment,n./v.,稱贊,5
comply,v.,順從,5
component,n./adj.,元件,5
compound,n./v./adj.,混合物,5
comprehend,v.,理解,5
comprehension,n.,理解,5
comprise,v.,包含,5
compromise,n./v.,妥協,5
compulsory,adj.,被強制的,5
conceal,v.,隱藏,5
concede,v.,承認,5
conceive,v.,構思,5
conception,n.,觀念,5
condemn,v.,判刑,5
conduct,v./n.,行為,5
confession,n.,承認,5
confidential,adj.,機密的,5
confine,v.,限制,5
conform,v.,使一致,5
confront,v.,使面對,5
confrontation,n.,對抗,5
consecutive,adj.,連續的,5
consensus,n.,合意,5
consent,n./v.,同意,5
conservation,n.,保護,5
considerate,adj.,體貼的,5
constitutional,adj./n.,憲法的,5
constraint,n.,強制,5
consultation,n.,請教,5
consumption,n.,消費,5
contagious,adj.,觸染性的,5
contaminate,v.,弄汙,5
contemplate,v.,注視,5
contemporary,adj./n.,同時代的人,5
contempt,n.,輕視,5
contend,v.,奮鬥,5
continental,adj.,大陸的,5
contractor,n.,立契約的人,5
contradiction,n.,反駁,5
controversial,adj.,爭論的,5
controversy,n.,論爭,5
conversion,n.,轉變,5
convert,v.,皈依者,5
convict,v./n.,囚犯,5
conviction,n.,定罪,5
coordinate,v./n./adj.,同等的人(或物),5
copyright,n./v.,版權,5
core,n.,核心,5
corporate,adj.,社團的,5
corporation,n.,公司,5
correlation,n.,相互關系,5
correspondent,n.,通訊記者,5
corridor,n.,走廊,5
corrupt,adj./v.,腐敗的,5
corruption,n.,腐敗,5
counsel,n./v.,商議,5
counselor,n.,顧問,5
courteous,adj.,彬彬有禮,5
coverage,n.,覆蓋的範圍,5
credibility,n.,可信用,5
creek,n.,小溪,5
cripple,v./n.,跛者,5
criterion/criteria,n.,標準,5
crucial,adj.,決定性的,5
crude,adj.,天然的,5
cruise,n./v.,巡航,5
crystal,n./adj.,水晶,5
cuisine,n.,烹調風格,5
currency,n.,貨幣,5
curriculum,n.,課程,5
custody,n.,監護,5
customs,n.,海關,5
deadly,adj./adv.,致命的,5
debris,n.,碎片,5
debut,n.,初次登臺,5
decay,n./v.,衰退,5
deceive,v.,欺騙,5
decent,adj.,有分寸的,5
declaration,n.,宣告,5
decline,n./v.,衰退,5
dedicate,v.,獻出,5
defendant,n.,被告,5
deficit,n.,赤字,5
defy,v.,藐視,5
delegate,n./v.,代表,5
delegation,n.,代表團,5
deliberate,adj./v.,深思熟慮的,5
democrat,n.,民主人士,5
denial,n.,否認,5
density,n.,密度,5
depict,v.,描述,5
deploy,v.,展開,5
depress,v.,使沮喪,5
deputy,n.,副手,5
derive,v.,得自,5
descend,v.,下降,5
descriptive,adj.,描述的,5
despair,n./v.,絕望,5
destination,n.,目的地,5
destiny,n.,命運,5
destructive,adj.,毀滅性的,5
devotion,n.,熱愛,5
diagnose,v.,診斷,5
diagnosis,n.,診斷,5
dialect,n.,方言,5
diameter,n.,直徑,5
diaper,n.,尿布,5
digestion,n.,消化力,5
dilemma,n.,困境,5
dimension,n.,尺寸,5
diminish,v.,(使)減少,5
diplomatic,adj.,外交的,5
directory,n.,目錄,5
disapprove,v.,不贊成,5
disclose,v.,揭露,5
disconnect,v.,使分離,5
discourse,n.,談話,5
discriminate,v.,區別,5
discrimination,n.,差別,5
disrupt,v.,分裂的,5
dissolve,v.,溶解,5
distinction,n.,區別,5
distinctive,adj.,有特色的,5
distract,v.,轉移,5
doctrine,n.,教條,5
document,n./v.,文件,5
documentary,n./adj.,記錄片,5
domain,n.,領域,5
dome,n./v.,圓頂,5
donate,v.,捐贈,5
donation,n.,捐贈物,5
donor,n.,捐贈人,5
doorway,n.,門口,5
dough,n.,生面團,5
dreadful,adj.,可怕的,5
driveway,n.,車道,5
drought,n.,幹旱,5
ecological,adj.,生態學的,5
ecology,n.,生態學,5
ecosystem,n.,生態系統,5
ego,n.,自我,5
elaborate,adj./v.,精細的,5
eligible,adj.,有資格當選的,5
eloquent,adj.,雄辯的,5
embrace,v./n.,擁抱,5
emission,n.,發射,5
endorse(ment),v./(n.),背書,5
enterprise,n.,企業,5
enthusiastic,adj.,狂熱的,5
entitle,v.,給...權利,5
entity,n.,實體,5
entrepreneur,n.,企業家,5
envious,adj.,嫉妒的,5
envision,v.,想象,5
epidemic,n./adj.,傳染病,5
episode,n.,插曲,5
equation,n.,相等,5
equity,n.,公平,5
equivalent,n./adj.,同等物,5
erect,v./adj.,直立的,5
errand,n.,任務,5
erupt,v.,爆發,5
escalator,n.,電動扶梯,5
essence,n.,實質,5
estate,n.,不動產,5
eternal,adj.,永恆的,5
ethic(s),n.,倫理,5
ethical,adj.,倫理的,5
evolution,n.,進化,5
evolve,v.,進展,5
exaggeration,n.,誇張,5
exceed,v.,超過,5
exceptional,adj.,例外的,5
excessive,adj.,過度的,5
exclaim,v.,大叫,5
exclude,v.,除外,5
exclusive,adj.,排外的,5
execute,v.,執行,5
execution,n.,實行,5
executive,n./adj.,執行部門,5
exile,n./v.,放逐,5
exotic,adj./n.,異國的,5
expedition,n.,遠徵,5
expertise,n.,專家意見,5
explicit,adj.,詳述的,5
exploit,v./n.,功績,5
exploration,n.,探險,5
extension,n.,延長,5
extensive,adj.,廣的,5
exterior,n./adj.,外部,5
external,adj./n.,外部,5
extinct,adj.,熄滅的,5
extraordinary,adj.,非常的,5
fabric,n.,織物,5
fabulous,adj.,傳說的,5
facilitate,v.,使容易,5
faculty,n.,才能,5
fascinate,v.,令人入神,5
fatigue,n./v.,疲乏,5
federal,adj.,聯邦的,5
fiber,n.,纖維,5
filter,n./v.,濾波器,5
fiscal,adj.,財政的,5
fleet,n.,艦隊,5
flexibility,n.,彈性,5
flip,v./n.,擲,5
fluency,n.,流暢,5
fluid,n./adj.,液體,5
forge,v.,熔爐,5
format,n./v.,開本,5
forum,n.,論壇,5
foster,adj./v.,收養的,5
foul,adj./n./v./adv.,汙穢的,5
fraction,n.,小部分,5
fragment,n./v.,碎片,5
framework,n.,結構,5
franchise,n.,公民權,5
fraud,n.,欺騙,5
freight,n./v.,船貨,5
frontier,n.,邊界,5
galaxy,n.,銀河,5
gasp,n./v.,喘氣,5
gathering,n.,聚集,5
generate,v.,產生,5
generator,n.,產生器,5
genetic,adj.,創始的,5
genetics,n.,遺傳學,5
genre,n.,類型,5
glare,n./v.,閃耀光,5
gloomy,adj.,抑沉的,5
gorgeous,adj.,華麗的,5
grant,n./v.,授予,5
graphic,adj./n.,生動的,5
gravity,n.,地心引力,5
greed,n.,貪欲,5
grieve,v.,使悲傷,5
grill,n./v.,烤架,5
grim,adj.,冷酷的,5
grip,n./v.,緊握,5
gross,adj./v./n.,總數,5
guideline,n.,指導路線,5
gut,n./v.,劇情,5
habitat,n.,棲息地,5
haul,v./n.,用力拖拉,5
hazard,n./v.,冒險,5
heir,n.,繼承人,5
hence,adv.,因此,5
herb,n.,藥草,5
heritage,n.,遺產,5
highlight,v./n.,加亮區,5
hockey,n.,冰球,5
honorable,adj.,值得尊敬的,5
horizontal,adj./n.,水平線,5
hormone,n.,荷爾蒙,5
hostage,n.,人質,5
hostile,adj.,敵人的,5
hostility,n.,敵意,5
housing,n.,遮蓋,5
howl,n./v.,嗥叫,5
hypothesis,n.,假設,5
icon,n.,畫像,5
ideology,n.,思想體系,5
idiot,n.,白痴,5
illusion,n.,幻影,5
immense,adj.,極廣大的,5
immune,adj.,免疫的,5
implement,v./n.,工具,5
implication,n.,牽連,5
impulse,n.,衝動,5
incentive,n./adj.,動機,5
incorporate,v.,合並的,5
index,n./v.,索引,5
indifferent,adj.,漠不關心的,5
indigenous,adj.,本土的,5
indispensable,adj.,不可缺少之物,5
indulge,v.,縱情於,5
inevitable,adj.,不可避免的,5
infect,v.,傳染,5
infinite,adj.,無限,5
infrastructure,n.,基礎結構,5
inherent,adj.,固有的,5
inherit,v.,繼承,5
initiate,v./adj./n.,入會,5
initiative,n./adj.,主動行動,5
inject,v.,注射,5
injection,n.,注射,5
inning,n.,一局,5
innovation,n.,改革,5
innovative,adj.,革新的,5
inquiry,n.,質詢,5
insane,adj.,患精神病的,5
insight,n.,察看,5
installation,n.,安裝,5
institute,n./v.,學會,5
institution,n.,機構,5
intact,adj.,尚未被人碰過的,5
integrate,v.,綜合,5
integration,n.,綜合,5
integrity,n.,正直,5
intensify,v.,加強,5
intent,n./adj.,意圖,5
interference,n.,衝突,5
interior,adj./n.,內部,5
interpretation,n.,解釋,5
interval,n.,間隔,5
intervention,n.,插入,5
investigator,n.,調查者,5
irony,n.,反語,5
journalism,n.,新聞業,5
journalist,n.,新聞記者,5
judicial,adj.,法庭的,5
jug,n./v.,水壺,5
jury,n.,陪審團,5
justify,v.,替...辯護,5
juvenile,adj./n.,少年,5
kidnap,v.,綁架,5
landlord,n.,房東,5
laser,n.,激光,5
lawmaker,n.,立法者,5
lawsuit,n.,訴訟,5
layer,n./v.,層,5
league,n./v.,同盟,5
legacy,n.,祖先傳下來之物,5
legendary,adj.,傳說的,5
legislation,n.,立法,5
legislative,adj.,立法機構,5
legitimate,adj./v.,合法的,5
lest,conj.,以免,5
liability,n.,責任,5
likelihood,n.,可能,5
likewise,adv.,同樣地,5
loop,n.,環,5
lounge,n./v.,閒逛,5
lump,n./v.,塊,5
mainstream,n.,主流,5
maintenance,n.,維護,5
mammal,n.,哺乳動物,5
mandate,n.,命令,5
manifest,v./adj.,載貨單,5
manipulate,v.,操縱,5
mansion,n.,大廈,5
marine,adj./n.,艦隊,5
masculine,adj./n.,陽性,5
massage,n./v.,按摩,5
massive,adj.,大而重的,5
masterpiece,n.,傑作,5
mattress,n.,床墊,5
meantime,n./adv.,間隔時間,5
mechanism,n.,機械,5
medication,n.,藥物治療,5
mentor,n.,指導者,5
merge,v.,使合並,5
metaphor,n.,隱喻,5
metropolitan,adj./n.,大都市居民,5
midst,n./prep.,中間,5
migration,n.,移民,5
milestone,n.,裡程碑,5
miniature,adj./n.,縮圖,5
minimal,adj.,最小的,5
minimize,v.,將...減到最少,5
mint,n.,薄荷,5
missionary,n./adj.,傳教士,5
moan,n./v.,呻吟,5
mock,adj./v./n.,嘲笑,5
mode,n.,模態,5
modify,v.,修正,5
molecule,n.,分子,5
monopoly,n.,壟斷,5
morality,n.,道德,5
mortality,n.,必死的命運,5
mortgage,n.,抵押,5
motive,n.,動機,5
mount,n./v.,乘騎用馬,5
mumble,v./n.,喃喃而語,5
municipal,adj.,市政的,5
muscular,adj.,強壯的,5
mustard,n.,芥末,5
myth,n.,神話,5
naive,adj.,天真的,5
narrative,n./adj.,敘述,5
nasty,adj.,汙穢的,5
negotiation,n.,談判,5
neutral,adj./n.,中立者,5
nominate,v.,提名,5
nomination,n.,提名,5
nominee,n.,被提名者,5
nonprofit,adj.,非贏利的,5
norm,n.,基準,5
noticeable,adj.,顯而易見的,5
notify,v.,通知,5
notion,n.,概念,5
nowhere,adv./pron.,無處,5
nutrient,n./adj.,營養的,5
nutrition,n.,營養,5
obligation,n.,義務,5
obscure,adj./v.,模糊的,5
observer,n.,觀察者,5
odds,n.,可能性,5
offering,n.,提供,5
olive,adj./n.,橄欖,5
operational,adj.,操作的,5
opponent,n.,對手,5
opposition,n.,反對,5
opt,v.,選擇,5
optimism,n.,樂觀主義,5
optional,adj.,可選擇的,5
orchard,n.,果園,5
organism,n.,生物,5
originality,n.,創意,5
outfit,n./v.,用具,5
outlet,n.,出口,5
output,n./v.,輸出,5
outsider,n.,外人,5
overall,adj./adv./n.,全部的,5
overhead,adv./adj./n.,經常開支,5
oversee,v.,向下看,5
overtake,v.,趕上,5
overturn,v./n.,傾覆,5
overwhelm,v.,淹沒,5
parallel,adj./n./v.,平行,5
participant,n.,參加者,5
particle,n.,顆粒,5
partly,adv.,部分地,5
passionate,adj.,熱情的,5
pastry,n.,油酥點心,5
patch,n./v.,片,5
patent,n./adj./v.,專利權,5
pathetic,adj.,悲哀的,5
patrol,n./v.,巡邏,5
patron,n.,贊助人,5
peasant,n.,農夫,5
pedal,n./v.,踏板,5
pedestrian,n./adj.,行人,5
penetrate,v.,穿透,5
pension,n./v.,養老金,5
perceive,v.,感覺,5
perception,n.,知覺,5
performer,n.,表演者,5
persist,v.,堅持,5
personnel,n.,人員,5
perspective,n./adj.,遠景,5
pessimism,n.,悲觀,5
petition,n.,請願,5
petty,adj.,瑣碎的,5
phase,n./v.,時期,5
photographic,adj.,照相的,5
pickup,n.,拾起,5
pier,n.,碼頭,5
pillar,n.,柱子,5
pipeline,n.,管道,5
pirate,n./v.,海盜,5
pitcher,n.,有把的大罐,5
placement,n.,放置,5
plea,n.,懇求,5
plead,v.,辯護,5
pledge,n./v.,諾言,5
plunge,n./v.,鑽進,5
plural,adj./n.,復數,5
poetic,adj.,詩的,5
poke,v./n.,刺,5
porch,n.,門廊,5
portfolio,n.,皮包,5
practitioner,n.,從業者,5
precaution,n.,預防,5
predator,n.,食肉動物,5
preference,n.,偏愛,5
prejudice,n./v.,偏見,5
preliminary,adj./n.,初步做法,5
premature,adj.,早產的,5
premier,adj./n.,總理,5
premise,n.,前提,5
premium,n.,額外補貼,5
prescribe,v.,規定,5
prescription,n.,處方,5
presidency,n.,總統職權,5
presidential,adj.,總統制的,5
presumably,adv.,推測上,5
presume,v.,假定,5
prevail,v.,獲勝,5
prey,n./v.,被掠食者,5
prior,adj./adv./n.,更重要的,5
proclaim,v.,宣布,5
productivity,n.,生產力,5
profile,n./v.,側面,5
profound,adj.,極深的,5
progressive,adj./n.,改革論者,5
prohibit,v.,禁止,5
projection,n.,發射,5
prolong,v.,延長,5
prone,adj.,俯伏的,5
propaganda,n.,宣傳,5
prophet,n.,預言者,5
proportion,n./v.,比例,5
prosecution,n.,執行,5
prospect,n./v.,景色,5
province,n.,省,5
provision,n.,(政府提供的)錢和設備,5
provoke,v.,激怒,5
pulse,n./v.,脈衝,5
purchase,n./v.,購買,5
pyramid,n.,角錐,5
qualify,v.,取得資格,5
quest,n.,探索,5
questionnaire,n.,調查表,5
quiver,n./v.,震動,5
quota,n.,配額,5
racism,n.,種族主義,5
rack,n./v.,架,5
radiation,n.,輻射,5
radical,adj./n.,激進分子,5
ragged,adj.,衣衫襤褸的,5
raid,n./v.,襲擊,5
rail,n.,橫杆,5
rally,n./v.,重振旗鼓,5
ranch,n./v.,大牧場,5
random,adj.,隨意,5
ratio,n.,比,5
rational,adj.,理性的,5
rattle,v./n.,使嘎嘎響,5
realism,n.,寫實主義,5
realm,n.,王國,5
rear,adj./n.,後面,5
reassure,v.,使...安心,5
rebellion,n.,謀反,5
recession,n.,後退,5
recipient,n./adj.,領受的,5
recite,v.,背誦,5
recommend,v.,推薦,5
recommendation,n.,推薦,5
recruit,v./n.,新兵,5
refuge,n.,避難所,5
regardless,adj./adv.,不管,5
regime,n.,政權,5
rehearsal,n.,預演,5
reinforce,v.,加強,5
reminder,n.,提醒的人,5
removal,n.,移動,5
render,v.,回報,5
rental,n.,租費,5
repay,v.,償還,5
republican,n./adj.,共和主義者,5
resemblance,n.,相似處,5
reservoir,n.,貯水池,5
residence,n.,住宅,5
resident,n./adj.,居民,5
residential,adj.,住宅的,5
resort,n./v.,度假勝地,5
respondent,n.,回答的,5
resume,v./n.,重新開始,5
retail,n./adj./adv./v.,零售,5
revenue,n.,收入,5
reverse,v./adj./n.,相反,5
rhetoric,n.,修辭,5
rib,n./v.,肋骨,5
ridge,n./v.,脊,5
ridiculous,adj.,荒謬的,5
rifle,n./v.,來復槍,5
rigid,adj.,堅硬的,5
rim,n./v.,邊,5
riot,n./v.,暴動,5
rip,v./n.,裂痕,5
risky,adj.,危險的,5
ritual,n./adj.,儀式,5
rival,adj./n./v.,對手,5
rod,n.,竿,5
sacred,adj.,神聖的,5
saddle,n./v.,鞍,5
saint,n./v.,聖徒,5
salmon,n./adj.,鮭魚,5
salon,n.,大會客室,5
sandal,n.,涼鞋,5
scan,n./v.,審視,5
scandal,n.,醜聞,5
scar,n./v.,疤痕,5
scenario,n.,劇本提綱,5
scent,n./v.,氣味,5
scheme,n./v.,方案,5
scope,n.,範圍,5
scramble,v./n.,攀緣,5
scrap,n./v.,碎片,5
script,n./v.,手跡,5
sector,n.,扇形,5
segment,n./v.,片段,5
seminar,n.,研究班,5
senator,n.,參議員,5
sensation,n.,感覺,5
sensitivity,n.,敏感,5
sensor,n.,傳感器,5
sentiment,n.,感情,5
sentimental,adj.,感傷的,5
sequence,n./v.,序列,5
series,n.,串聯,5
server,n.,服伺者,5
session,n.,期間,5
setting,n.,環境,5
shareholder,n.,股東,5
shatter,v.,碎片,5
shed,v./n.,車棚,5
sheer,adj./adv.,絕對的,5
sheriff,n.,郡治安官,5
shield,n./v.,盾,5
shiver,n./v.,顫抖,5
shortage,n.,不足,5
shove,v./n.,推,5
shrug,n./v.,聳肩,5
shuttle,n./v.,穿梭,5
sibling,n.,兄弟,5
siege,n.,包圍,5
skeleton,n.,骨骼,5
skull,n.,頭蓋骨,5
slam,n./v.,砰然聲,5
slap,n./v./adv.,摑,5
slavery,n.,奴隸的身分,5
slot,n./v.,水溝,5
smash,v./n.,打碎,5
smog,n.,煙霧,5
snatch,v./n.,搶奪,5
sneak,v./n.,鬼鬼祟祟做事,5
sniff,v./n.,以鼻吸氣,5
soak,v./n.,浸,5
soar,v.,高揚,5
sob,n./v.,啜泣,5
sober,adj./v.,未醉的,5
soften,v.,(使)變柔軟,5
sole,adj./n./v.,腳掌,5
solo,n./adv./adj.,獨奏,5
sophisticated,adj.,復雜的,5
sophomore,n.,(大學)二年級生,5
souvenir,n.,紀念品,5
sovereignty,n.,主權,5
sow,v.,母豬,5
spacious,adj.,廣大的,5
sparkle,v./n.,閃耀,5
specialist,n.,專門醫師,5
specialize,v.,使特殊化,5
specialty,n.,專業,5
specify,v.,詳列,5
specimen,n.,樣品,5
spectacular,adj./n.,公開展示的,5
spectator,n.,觀眾,5
spectrum,n.,光譜,5
speculate,v.,深思,5
sphere,n.,球,5
spicy,adj.,香的,5
spine,n.,背骨,5
sponge,n./v.,海綿,5
sponsor,n./v.,保證人,5
sponsorship,n.,發起,5
spouse,n.,配偶,5
squad,n.,班,5
squash,n./v.,擠壓,5
squat,adj./n./v.,蹲,5
stability,n.,安定,5
stack,n./v.,堆疊,5
stain,n./v.,汙染,5
stake,n./v.,樁,5
stall,n./v.,廄,5
stance,n.,準備擊球姿勢,5
startle,v.,驚愕,5
statistical,adj.,統計的,5
steer,v./n.,引導,5
stereotype,n./v.,鉛版,5
stew,n./v.,燉,5
stimulate,v.,刺激,5
stimulus,n.,刺激,5
stink,n./v.,臭味,5
stock,n.,樹幹,5
storage,n.,存儲器,5
straighten,v.,弄直,5
straightforward,adj.,筆直的,5
strain,n./v.,緊張,5
strand,v./n.,(繩索的)股,5
strap,n./v.,帶,5
strategic,adj.,戰略的,5
striking,adj.,醒目的,5
structural,adj.,結構的,5
stumble,v./n.,絆倒,5
sturdy,adj.,強健的,5
submit,v.,使服從,5
subsequent,adj.,後來的,5
subsidy,n.,補助金,5
substantial,adj.,重要材料(或事物),5
substitute,n./v.,代理,5
subtle,adj.,敏銳的,5
suburban,adj.,郊外的,5
successor,n.,繼承者,5
suite,n.,隨員,5
superb,adj.,極度的,5
superstition,n.,迷信,5
supervise,v.,監督,5
supervision,n.,監督,5
supervisor,n.,管理者,5
supposedly,adv.,想象上,5
supreme,adj.,至高,5
surplus,n./adj.,剩餘,5
surveillance,n.,監視,5
suspend,v.,懸,5
sustain,v.,承受,5
sustainable,adj.,足可支撐的,5
swap,v./n.,以貨易貨,5
symbolic,adj.,象徵的,5
symptom,n.,症狀,5
syndrome,n.,並發症狀,5
tackle,v.,工具,5
tactic(s),n.,策略,5
tangle,n./v.,纏結,5
tempt,v.,誘惑,5
temptation,n.,誘惑,5
terminal,n./adj.,終端機,5
terrify,v.,使恐懼,5
testify,v.,證明,5
texture,n./v.,(織物的)密度,5
theft,n.,盜竊,5
theology,n.,神學,5
theoretical,adj.,理論的,5
therapist,n.,治療學家,5
therapy,n.,治療,5
thereby,adv.,因此,5
thesis,n.,論題,5
thigh,n.,大腿,5
threshold,n.,門檻,5
thrill,n./v.,震顫,5
thriller,n.,使人激動的東西,5
thrive,v.,繁榮,5
throne,n.,王座,5
thrust,v./n.,插,5
tick,n./v.,滴答聲,5
tile,n./v.,磚瓦,5
tin,n./v.,錫,5
toll,n./v.,通行費,5
torch,n./v.,火把,5
torment,n./v.,使人痛苦的東西,5
tournament,n.,比賽,5
toxic,adj.,有毒的,5
trait,n.,特徵,5
traitor,n.,叛逆者,5
transaction,n.,交易,5
transformation,n.,變形,5
transit,n./v.,經過,5
transition,n.,轉變,5
transmission,n.,傳輸,5
transparent,adj.,透明的,5
trauma,n.,外傷,5
treaty,n.,條約,5
tribute,n.,貢物,5
trigger,n./v.,觸發器,5
trim,v./n./adj.,整齊,5
triple,adj./v./n.,三倍數,5
trivial,adj.,瑣碎的,5
trophy,n.,戰利品,5
tuition,n.,學費,5
tumor,n.,腫大,5
tuna,n.,金槍魚,5
ultimate,adj./n.,終極,5
uncover,v.,揭露,5
undergo,v.,遭受,5
undergraduate,n.,大學本科生,5
underline,v./n.,在...下面劃線,5
undermine,v.,在...下面挖,5
undertake,v.,試圖,5
undo,v.,解開,5
undoubtedly,adv.,無疑,5
unemployment,n.,失業,5
unfold,v.,展開,5
unlock,v.,開...的鎖,5
unprecedented,adj.,空前的,5
update,n./v.,更新,5
upgrade,v./n.,上坡,5
utility,n.,功用,5
utilize,v.,利用,5
vacuum,n./v.,真空,5
vague,adj.,含糊的,5
valid,adj.,有確實根據的,5
variable,n./adj.,易變的事物,5
variation,n.,變更,5
vein,n.,血管,5
vendor,n.,小販,5
venture,n./v.,冒險,5
venue,n.,犯罪地點,5
verbal,adj./n.,用言辭的,5
verdict,n.,裁決,5
version,n.,一種描述,5
versus,prep.,對...,5
vertical,adj./n.,垂直的,5
veteran,n.,老手,5
via,prep.,經由,5
viable,adj.,能養活的,5
vicious,adj.,邪惡的,5
viewer,n.,觀察者,5
viewpoint,n.,觀點,5
vinegar,n.,醋,5
virtual,adj.,實際上起作用的,5
visa,n.,籤證,5
vocal,adj./n.,嗓音的,5
volcano,n.,火山,5
vomit,n./v.,吐出,5
voucher,n.,證人,5
vow,n./v.,誓約,5
vulnerable,adj.,易受傷害的,5
warehouse,n./v.,倉庫,5
warrior,n.,戰士,5
wary,adj.,謹慎的,5
weird,adj.,怪異的,5
whatsoever,adj./pron.,無論什麼,5
wheelchair,n.,輪椅,5
whereabouts,n./adv.,下落,5
whereas,conj.,然而,5
whine,n./v.,哀叫聲,5
widespread,adj.,充分伸展的,5
wig,n.,假發,5
wilderness,n.,荒野,5
wildlife,n.,野生動植物,5
windshield,n.,擋風玻璃,5
wither,v.,使凋謝,5
witty,adj.,富於機智的,5
workshop,n.,工場,5
worship,n./v.,崇拜,5
worthwhile,adj.,值得花時間的,5
worthy,adj.,傑出人物,5
yacht,n./v.,快艇,5
yield,v./n.,生產量,5
abbreviate,v.,縮寫,6
abide,v.,停留,6
aboriginal,adj./n.,原始的,6
abound,v.,大量存在,6
abstraction,n.,抽象化,6
abundance,n.,豐富,6
academy,n.,學院,6
accessory,n./adj.,附件,6
acclaim,n./v.,喝彩,6
accordance,n.,一致,6
accordingly,adv.,相應地,6
accountable,adj.,負有責任的,6
accumulate,v.,積聚,6
accumulation,n.,積聚,6
accusation,n.,控告,6
accustom,v.,使習慣於,6
acne,n.,痤瘡,6
acre,n.,英畝,6
adaptation,n.,適應,6
addiction,n.,入迷,6
administer/administrate,v.,管理；施行,6
admiral,n.,艦隊司令,6
adolescence,n.,青春期,6
advisory,adj.,顧問的,6
aesthetic,adj.,美學的,6
affectionate,adj.,深情的,6
affiliate,n.,使緊密聯繫,6
affirm,v.,斷言,6
airtight,adj.,氣密的,6
airway,n.,空中航線,6
algebra,n.,代數學,6
alienate,v.,使疏遠,6
align,v.,排列,6
allege,v.,宣稱,6
alligator,n.,短吻鱷,6
altitude,n.,高度,6
aluminum,n.,鋁,6
ambiguity,n.,不明確,6
amid/amidst,prep.,在...之中,6
amplify,v.,增強,6
analogy,n.,相似,6
analytical,adj.,分析的,6
anchor,n./v.,錨,6
animate,v./adj.,使有生氣,6
annoyance,n.,煩惱,6
anthem,n.,聖歌,6
antibiotic,n./adj.,抗生素,6
anticipation,n.,預期,6
antonym,n.,反義詞,6
